code|division|grupo|clase|categoria|name|nombre
09133000|09000000|09100000|09130000|09133000|09133000|Gas licuado del petróleo (GLP)
09134000|09000000|09100000|09130000|09134000|09134000|Gasóleos
09134100|09000000|09100000|09130000|09134000|09134100|Gasoil
09134200|09000000|09100000|09130000|09134000|09134200|Combustible para motores diésel
09134210|09000000|09100000|09130000|09134000|09134210|Combustible para motores diésel (0.2)
09134220|09000000|09100000|09130000|09134000|09134220|Combustible para motores diésel (EN 590)
09134230|09000000|09100000|09130000|09134000|09134230|Biodiésel
09134231|09000000|09100000|09130000|09134000|09134231|Biodiésel (B20)
09134232|09000000|09100000|09130000|09134000|09134232|Biodiésel (B100)
09135000|09000000|09100000|09130000|09135000|09135000|Aceites combustibles
09135100|09000000|09100000|09130000|09135000|09135100|Petróleo para calefacción
09135110|09000000|09100000|09130000|09135000|09135110|Aceites combustibles con bajo contenido de azufre
09200000|09000000|09200000|09200000|09200000|09200000|Productos del petróleo, del carbón y de aceites minerales
09210000|09000000|09200000|09210000|09210000|09210000|Preparados lubricantes
09211000|09000000|09200000|09210000|09211000|09211000|Aceites lubricantes y agentes lubricantes
09211100|09000000|09200000|09210000|09211000|09211100|Aceites para motores
09211200|09000000|09200000|09210000|09211000|09211200|Aceites para compresores
09211300|09000000|09200000|09210000|09211000|09211300|Aceites para turbinas
09211400|09000000|09200000|09210000|09211000|09211400|Aceites para engranajes
09211500|09000000|09200000|09210000|09211000|09211500|Aceites para reductores
09211600|09000000|09200000|09210000|09211000|09211600|Aceites para sistemas hidráulicos y otros usos
09211610|09000000|09200000|09210000|09211000|09211610|Líquidos para uso hidráulico
09211620|09000000|09200000|09210000|09211000|09211620|Aceites de desmoldado
09211630|09000000|09200000|09210000|09211000|09211630|Aceites anticorrosión
09211640|09000000|09200000|09210000|09211000|09211640|Aceites para aislamiento eléctrico
09211650|09000000|09200000|09210000|09211000|09211650|Líquidos de frenos
09211700|09000000|09200000|09210000|09211000|09211700|Aceites blancos y parafinas líquidas
09211710|09000000|09200000|09210000|09211000|09211710|Aceites blancos
09211720|09000000|09200000|09210000|09211000|09211720|Parafinas líquidas
09211800|09000000|09200000|09210000|09211000|09211800|Aceites de petróleo y preparados
09211810|09000000|09200000|09210000|09211000|09211810|Aceites ligeros
09211820|09000000|09200000|09210000|09211000|09211820|Aceites de petróleo
09211900|09000000|09200000|09210000|09211000|09211900|Aceites lubricantes para motores de tracción
09220000|09000000|09200000|09220000|09220000|09220000|Vaselina, ceras del petróleo y gasolinas especiales
09221000|09000000|09200000|09220000|09221000|09221000|Vaselina y ceras de petróleo
09221100|09000000|09200000|09220000|09221000|09221100|Vaselina
09221200|09000000|09200000|09220000|09221000|09221200|Parafina
09221300|09000000|09200000|09220000|09221000|09221300|Cera de petróleo
09221400|09000000|09200000|09220000|09221000|09221400|Residuos de petróleo
09222000|09000000|09200000|09220000|09222000|09222000|Gasolinas especiales
09222100|09000000|09200000|09220000|09222000|09222100|Trementina mineral
09230000|09000000|09200000|09230000|09230000|09230000|Petróleo (crudo)
09240000|09000000|09200000|09240000|09240000|09240000|Productos derivados del carbón o de aceites minerales
09241000|09000000|09200000|09240000|09241000|09241000|Esquistos bituminosos o petrolíferos
09242000|09000000|09200000|09240000|09242000|09242000|Productos derivados del carbón
09242100|09000000|09200000|09240000|09242000|09242100|Aceite de alquitrán
09300000|09000000|09300000|09300000|09300000|09300000|Electricidad, calefacción, energías solar y nuclear
09310000|09000000|09300000|09310000|09310000|09310000|Electricidad
09320000|09000000|09300000|09320000|09320000|09320000|Vapor, agua caliente y productos afines
09321000|09000000|09300000|09320000|09321000|09321000|Agua caliente
09322000|09000000|09300000|09320000|09322000|09322000|Vapor
09323000|09000000|09300000|09320000|09323000|09323000|Calefacción urbana
09324000|09000000|09300000|09320000|09324000|09324000|Calefacción a larga distancia
09330000|09000000|09300000|09330000|09330000|09330000|Energía solar
09331000|09000000|09300000|09330000|09331000|09331000|Placas solares
09331100|09000000|09300000|09330000|09331000|09331100|Captadores solares para la producción de calor
09331200|09000000|09300000|09330000|09331000|09331200|Módulos solares fotovoltaicos
09332000|09000000|09300000|09330000|09332000|09332000|Instalación solar
09340000|09000000|09300000|09340000|09340000|09340000|Combustibles nucleares
09341000|09000000|09300000|09340000|09341000|09341000|Uranio
09342000|09000000|09300000|09340000|09342000|09342000|Plutonio
09343000|09000000|09300000|09340000|09343000|09343000|Materiales radiactivos
09344000|09000000|09300000|09340000|09344000|09344000|Radioisótopos
14000000|14000000|14000000|14000000|14000000|14000000|Productos de la minería, de metales de base y productos afines
14200000|14000000|14200000|14200000|14200000|14200000|Arena y arcilla
14210000|14000000|14200000|14210000|14210000|14210000|Grava, arena, piedras machacadas y agregados
14211000|14000000|14200000|14210000|14211000|14211000|Arena
14211100|14000000|14200000|14210000|14211000|14211100|Arena natural
14212000|14000000|14200000|14210000|14212000|14212000|Gránulos, gravilla, polvo de piedra, guijarros, grava, piedras partidas y machacadas, mezclas de piedra, mezclas arena-grava y demás agregados
14212100|14000000|14200000|14210000|14212000|14212100|Guijarros y grava
14212110|14000000|14200000|14210000|14212000|14212110|Grava
14212120|14000000|14200000|14210000|14212000|14212120|Guijarros
14212200|14000000|14200000|14210000|14212000|14212200|Agregados
14212210|14000000|14200000|14210000|14212000|14212210|Mezcla arena-grava
14212300|14000000|14200000|14210000|14212000|14212300|Piedra partida y machacada
14212310|14000000|14200000|14210000|14212000|14212310|Balasto
14212320|14000000|14200000|14210000|14212000|14212320|Granito machacado
14212330|14000000|14200000|14210000|14212000|14212330|Basalto machacado
14212400|14000000|14200000|14210000|14212000|14212400|Suelo
14212410|14000000|14200000|14210000|14212000|14212410|Tierra vegetal
14212420|14000000|14200000|14210000|14212000|14212420|Subsuelo
14212430|14000000|14200000|14210000|14212000|14212430|Gravilla
14213000|14000000|14200000|14210000|14213000|14213000|Macadán, macadán bituminoso y arenas bituminosas
14213100|14000000|14200000|14210000|14213000|14213100|Macadán
14213200|14000000|14200000|14210000|14213000|14213200|Macadán bituminoso
14213300|14000000|14200000|14210000|14213000|14213300|Arenas bituminosas
14220000|14000000|14200000|14220000|14220000|14220000|Arcilla y caolín
14221000|14000000|14200000|14220000|14221000|14221000|Arcilla
14222000|14000000|14200000|14220000|14222000|14222000|Caolín
14300000|14000000|14300000|14300000|14300000|14300000|Minerales químicos y abonos minerales
14310000|14000000|14300000|14310000|14310000|14310000|Abonos minerales
14311000|14000000|14300000|14310000|14311000|14311000|Calcio natural, fosfato aluminocálcico y sales de potasio natural en bruto
14311100|14000000|14300000|14310000|14311000|14311100|Calcio natural
14311200|14000000|14300000|14310000|14311000|14311200|Fosfatos aluminocálcicos
14311300|14000000|14300000|14310000|14311000|14311300|Sales de potasio natural en bruto
14312000|14000000|14300000|14310000|14312000|14312000|Piritas de hierro
14312100|14000000|14300000|14310000|14312000|14312100|Piritas de hierro sin tostar
14320000|14000000|14300000|14320000|14320000|14320000|Minerales químicos
14400000|14000000|14400000|14400000|14400000|14400000|Sal y cloruro de sodio puro
14410000|14000000|14400000|14410000|14410000|14410000|Sal gema
14420000|14000000|14400000|14420000|14420000|14420000|Sal marina
14430000|14000000|14400000|14430000|14430000|14430000|Sal evaporada y cloruro de sodio puro
14450000|14000000|14400000|14450000|14450000|14450000|Salmuera
14500000|14000000|14500000|14500000|14500000|14500000|Productos relacionados con la explotación de minas y canteras
14520000|14000000|14500000|14520000|14520000|14520000|Piedras preciosas y semipreciosas; piedra pómez; esmeril; abrasivos naturales; otros minerales y metales preciosos
14521000|14000000|14500000|14520000|14521000|14521000|Piedras preciosas y semipreciosas
14521100|14000000|14500000|14520000|14521000|14521100|Piedras preciosas
14521140|14000000|14500000|14520000|14521000|14521140|Polvillo o polvo de piedras preciosas
14521200|14000000|14500000|14520000|14521000|14521200|Piedras semipreciosas
14521210|14000000|14500000|14520000|14521000|14521210|Polvillo o polvo de piedras semipreciosas
14522000|14000000|14500000|14520000|14522000|14522000|Diamantes industriales; piedra pómez; esmeril; y otros abrasivos naturales
14522100|14000000|14500000|14520000|14522000|14522100|Piedra pómez
14522200|14000000|14500000|14520000|14522000|14522200|Diamantes industriales
14522300|14000000|14500000|14520000|14522000|14522300|Esmeril
14522400|14000000|14500000|14520000|14522000|14522400|Abrasivos naturales
14523000|14000000|14500000|14520000|14523000|14523000|Minerales conexos, metales preciosos y productos afines
14523100|14000000|14500000|14520000|14523000|14523100|Minerales
14523200|14000000|14500000|14520000|14523000|14523200|Oro
14523300|14000000|14500000|14520000|14523000|14523300|Plata
14523400|14000000|14500000|14520000|14523000|14523400|Platino
14600000|14000000|14600000|14600000|14600000|14600000|Minerales metálicos y aleaciones
14610000|14000000|14600000|14610000|14610000|14610000|Minerales metálicos
14611000|14000000|14600000|14610000|14611000|14611000|Minerales de hierro
14612000|14000000|14600000|14610000|14612000|14612000|Minerales metálicos no ferrosos
14612100|14000000|14600000|14610000|14612000|14612100|Minerales de cobre
14612200|14000000|14600000|14610000|14612000|14612200|Minerales de níquel
14612300|14000000|14600000|14610000|14612000|14612300|Minerales de aluminio
14612400|14000000|14600000|14610000|14612000|14612400|Minerales de metales preciosos
14612500|14000000|14600000|14610000|14612000|14612500|Minerales de plomo
14612600|14000000|14600000|14610000|14612000|14612600|Minerales de cinc
14612700|14000000|14600000|14610000|14612000|14612700|Minerales de estaño
14613000|14000000|14600000|14610000|14613000|14613000|Minerales de uranio y torio
14613100|14000000|14600000|14610000|14613000|14613100|Minerales de uranio
14613200|14000000|14600000|14610000|14613000|14613200|Minerales de torio
14614000|14000000|14600000|14610000|14614000|14614000|Minerales diversos
14620000|14000000|14600000|14620000|14620000|14620000|Aleaciones
14621000|14000000|14600000|14620000|14621000|14621000|Ferroaleaciones
14621100|14000000|14600000|14620000|14621000|14621100|Ferroaleaciones distintas de las de la CECA
14621110|14000000|14600000|14620000|14621000|14621110|Ferromanganeso
14621120|14000000|14600000|14620000|14621000|14621120|Ferrocromo
14621130|14000000|14600000|14620000|14621000|14621130|Ferroníquel
14622000|14000000|14600000|14620000|14622000|14622000|Acero
14630000|14000000|14600000|14630000|14630000|14630000|Escoria y batiduras, desperdicios y desechos ferrosos
14700000|14000000|14700000|14700000|14700000|14700000|Metales comunes
14710000|14000000|14700000|14710000|14710000|14710000|Hierro, plomo, zinc, estaño y cobre
14711000|14000000|14700000|14710000|14711000|14711000|Hierro
14711100|14000000|14700000|14710000|14711000|14711100|Fundición en bruto
14712000|14000000|14700000|14710000|14712000|14712000|Plomo
