code,categoria,nombre
24312110,24312000,Hexafluorosilicato de sodio
24312120,24312000,Cloruros
24312121,24312000,Cloruro de aluminio
24312122,24312000,Cloruro férrico
24312123,24312000,Policloruro de aluminio
24312130,24312000,Clorhidrato de aluminio
24312200,24312000,Hipocloritos y cloratos
24312210,24312000,Clorito de sodio
24312220,24312000,Hipoclorito de sodio
24313100,24313000,"Sulfuros, sulfitos y sulfatos"
24313110,24313000,Sulfuros diversos
24313111,24313000,Sulfuro de hidrógeno
24313112,24313000,Polisulfuros
24313120,24313000,Sulfatos
24313121,24313000,Tiosulfato de sodio
24313122,24313000,Sulfato férrico
24313123,24313000,Sulfato de aluminio
24313124,24313000,Sulfato de sodio
24313125,24313000,Sulfato de hierro
