categoria,clase,nombre
33156000,33150000,Material para pruebas objetivas psicológicas
33157000,33150000,Aparatos respiratorios y de oxigenoterapia
33158000,33150000,"Terapia eléctrica, electromagnética y mecánica"
33159000,33150000,Sistema de química clínica
33161000,33160000,Unidad de electrocirugía
33162000,33160000,Instrumentos y aparatos de quirófano
33163000,33160000,Tienda para uso médico
33164000,33160000,Aparatos de celioscopia
33165000,33160000,Aparatos de criocirugía y crioterapia
33166000,33160000,Aparatos de dermatología
33167000,33160000,Luces para quirófanos
33168000,33160000,Aparatos de endoscopia y endocirugía
33169000,33160000,Instrumentos quirúrgicos
33171000,33170000,Instrumentos de anestesia y reanimación
33172000,33170000,Aparatos para anestesia y reanimación
33181000,33180000,Dispositivos para hemodiálisis
33182000,33180000,Aparatos de ayuda cardíaca
33183000,33180000,Aparatos de ayuda ortopédica
33184000,33180000,Artículos y aparatos de prótesis
33185000,33180000,Audífonos
33186000,33180000,Unidad de circulación extracorpórea
33191000,33190000,"Aparatos para esterilización, desinfección e higiene"
33192000,33190000,Mobiliario para uso médico
33193000,33190000,Sillas de ruedas y demás vehículos para inválidos y material asociado
33194000,33190000,Instrumentos y aparatos de transfusión y perfusión
33195000,33190000,Sistema de monitorización de los pacientes
33196000,33190000,Ayudas médicas
33197000,33190000,Equipo informático para uso médico
33198000,33190000,Artículos de papel para hospital
33199000,33190000,Vestuario médico
33611000,33610000,Medicamentos contra los trastornos producidos por la hiperacidez
33612000,33610000,Medicamentos contra los trastornos gastrointestinales funcionales
33613000,33610000,Laxantes
33614000,33610000,"Antidiarreicos, antiinflamatorios y antiinfecciosos intestinales"
33615000,33610000,Antidiabéticos
33616000,33610000,Vitaminas
33617000,33610000,Suplementos minerales
33621000,33620000,Medicamentos para la sangre y para los órganos hematopoyéticos
33622000,33620000,Medicamentos para el aparato cardiovascular
33631000,33630000,Medicamentos usados en dermatología
33632000,33630000,Medicamentos para el sistema músculo-esquelético
33641000,33640000,Medicamentos para el sistema génito-urinario y hormonas sexuales
33642000,33640000,"Preparados hormonales sistémicos, excluidas las hormonas sexuales"
33651000,33650000,"Antiinfecciosos generales para uso sistémico, vacunas, antineoplásicos"
33652000,33650000,Agentes antineoplásicos e inmunomoduladores
33661000,33660000,Medicamentos para el sistema nervioso
33662000,33660000,Medicamentos para los órganos de los sentidos
33673000,33670000,Medicamentos para enfermedades obstructivas de las vías respiratorias
