clase,grupo,nombre
42610000,42600000,Máquinas herramienta que funcionan con láser y centros de mecanizado
42620000,42600000,Tornos y máquinas herramienta para taladrar y fresar
42630000,42600000,Máquinas herramienta para trabajar metales
42640000,42600000,"Máquinas herramienta para trabajar materiales duros, excepto metales"
42650000,42600000,Herramientas manuales neumáticas o con motor
42660000,42600000,"Herramientas para soldadura blanda y soldadura fuerte, máquinas y equipo para templado de superficies y pulverización en caliente"
42670000,42600000,Partes y accesorios de máquinas herramienta
42710000,42700000,Maquinaria para la industria textil
42720000,42700000,Partes de máquinas y aparatos para la producción de materias textiles y prendas de vestir
42810000,42800000,Partes de máquinas para la producción de papel o cartón
